X,Y,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,icon_url,CODMUN_TC,FREQ,DIST_EUCLI,TEMPO_ESTI
-37.8004433443672,-11.0339803953027,"2805802",RiachÃ£o do Dantas,SE,530.607,./0.png,"2803500",8,20780.724,0.594
-37.2252849022184,-10.7306234131408,"2805901",Riachuelo,SE,78.308,./0.png,,,,
-37.4293778414101,-10.5039963333241,"2806008",RibeirÃ³polis,SE,259.044,./0.png,"2802908",5,20104.460,0.574
-37.0354516436956,-10.6824677275951,"2806107",RosÃ¡rio do Catete,SE,102.683,./0.png,"2803500",1,72974.168,2.085
-37.4805636241554,-11.0626733971112,"2806206",Salgado,SE,247.579,./0.png,"2803500",9,26776.230,0.765
-37.5058637651446,-11.3617998517342,"2806305",Santa Luzia do Itanhy,SE,325.258,./0.png,,,,
-36.6367056230942,-10.2869507346894,"2806404",Santana do SÃ£o Francisco,SE,44.017,./0.png,,,,
-37.2360813194011,-10.632042334628,"2806503",Santa Rosa de Lima,SE,67.672,./0.png,,,,
-36.9826057040456,-10.7736514525335,"2806602",Santo Amaro das Brotas,SE,236.965,./0.png,,,,
-37.2204309897945,-10.9622164346335,"2806701",SÃ£o CristÃ³vÃ£o,SE,438.037,./0.png,"2800308",3,14167.410,0.405
-37.574755782004,-10.782379286545,"2806800",SÃ£o Domingos,SE,101.999,./0.png,"2802908",4,19878.768,0.568
-36.8669248889043,-10.3352351959842,"2806909",SÃ£o Francisco,SE,83.985,./0.png,,,,
-37.3635205802538,-10.3993856581706,"2807006",SÃ£o Miguel do Aleixo,SE,144.868,./0.png,,,,
-37.8283166299648,-10.7564526998345,"2807105",SimÃ£o Dias,SE,560.199,./0.png,"2803500",9,24142.166,0.690
-37.1252304832192,-10.5749199689813,"2807204",Siriri,SE,168.343,./0.png,"2800308",1,46496.513,1.328
-36.8895157879551,-10.1931280658048,"2807303",Telha,SE,47.860,./0.png,,,,
-38.0031515722796,-11.0422849204798,"2807402",Tobias Barreto,SE,1024.645,./0.png,"2803500",4,40111.265,1.146
-37.8751741039595,-11.3699208526243,"2807501",Tomar do Geru,SE,304.837,./0.png,,,,
-37.6624395759585,-11.3999359443216,"2807600",UmbaÃºba,SE,117.514,./0.png,,,,
